a_0,a_1,a_2,a_3,a_4,a_5,left_leg_sum,right_leg_sum,rep_mean,rep_sum,polar_coords
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-3.0,0.0061229016,1.5674628,1.0
-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-3.0,-1.0,0.005922104,1.5160587,1.0
-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-3.0,-1.0,0.006368763,1.6304033,1.0
-1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.0,1.0,0.0062271277,1.5941447,1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-3.0,-1.0,0.0059765447,1.5299954,1.0
-1.0,-1.0,-1.0,1.0,-1.0,1.0,-3.0,1.0,0.0058435993,1.4959614,1.0
-1.0,-1.0,-1.0,1.0,1.0,-1.0,-3.0,1.0,0.006181675,1.5825088,0.99999994
-1.0,-1.0,-1.0,1.0,1.0,1.0,-3.0,3.0,0.0060687056,1.5535886,1.0000001
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-3.0,0.00610071,1.5617818,1.0
-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.005908913,1.5126817,1.0
-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.006366047,1.629708,0.99999994
-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.006217046,1.5915638,0.99999994
-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0060331426,1.5444845,1.0
-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.005886481,1.5069392,0.99999994
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0062500983,1.6000252,0.99999994
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,3.0,0.006129382,1.5691218,1.0
-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,0.0060359566,1.5452049,1.0
-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.005997263,1.5352993,0.99999994
-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0063159685,1.6168879,1.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0062458133,1.5989282,0.99999994
