step,eval_reward,algo,env,seed
5000.0,978.8203,SACDistanceAgentNew,Ant-v5,32
10000.0,860.698,SACDistanceAgentNew,Ant-v5,32
15000.0,-64.1103,SACDistanceAgentNew,Ant-v5,32
20000.0,-34.5214,SACDistanceAgentNew,Ant-v5,32
25000.0,-52.3607,SACDistanceAgentNew,Ant-v5,32
30000.0,-13.8818,SACDistanceAgentNew,Ant-v5,32
35000.0,-10.4897,SACDistanceAgentNew,Ant-v5,32
40000.0,-12.6805,SACDistanceAgentNew,Ant-v5,32
45000.0,-6.3806,SACDistanceAgentNew,Ant-v5,32
50000.0,-7.5086,SACDistanceAgentNew,Ant-v5,32
55000.0,-7.2267,SACDistanceAgentNew,Ant-v5,32
60000.0,-4.5252,SACDistanceAgentNew,Ant-v5,32
65000.0,-4.6435,SACDistanceAgentNew,Ant-v5,32
70000.0,-3.4495,SACDistanceAgentNew,Ant-v5,32
75000.0,-2.6816,SACDistanceAgentNew,Ant-v5,32
80000.0,0.312,SACDistanceAgentNew,Ant-v5,32
85000.0,0.7366,SACDistanceAgentNew,Ant-v5,32
90000.0,-1.2846,SACDistanceAgentNew,Ant-v5,32
95000.0,0.9791,SACDistanceAgentNew,Ant-v5,32
100000.0,0.5785,SACDistanceAgentNew,Ant-v5,32
105000.0,2.3243,SACDistanceAgentNew,Ant-v5,32
110000.0,2.461,SACDistanceAgentNew,Ant-v5,32
115000.0,4.8585,SACDistanceAgentNew,Ant-v5,32
120000.0,4.1628,SACDistanceAgentNew,Ant-v5,32
125000.0,5.5011,SACDistanceAgentNew,Ant-v5,32
130000.0,6.1481,SACDistanceAgentNew,Ant-v5,32
135000.0,5.9665,SACDistanceAgentNew,Ant-v5,32
140000.0,5.7027,SACDistanceAgentNew,Ant-v5,32
145000.0,6.7883,SACDistanceAgentNew,Ant-v5,32
150000.0,5.3489,SACDistanceAgentNew,Ant-v5,32
155000.0,6.2913,SACDistanceAgentNew,Ant-v5,32
160000.0,5.9036,SACDistanceAgentNew,Ant-v5,32
165000.0,8.4305,SACDistanceAgentNew,Ant-v5,32
170000.0,7.0957,SACDistanceAgentNew,Ant-v5,32
175000.0,7.9966,SACDistanceAgentNew,Ant-v5,32
180000.0,7.8788,SACDistanceAgentNew,Ant-v5,32
185000.0,8.1599,SACDistanceAgentNew,Ant-v5,32
190000.0,8.4903,SACDistanceAgentNew,Ant-v5,32
195000.0,7.6514,SACDistanceAgentNew,Ant-v5,32
200000.0,8.0307,SACDistanceAgentNew,Ant-v5,32
205000.0,7.4636,SACDistanceAgentNew,Ant-v5,32
210000.0,7.2713,SACDistanceAgentNew,Ant-v5,32
215000.0,8.8161,SACDistanceAgentNew,Ant-v5,32
220000.0,6.9121,SACDistanceAgentNew,Ant-v5,32
225000.0,6.8438,SACDistanceAgentNew,Ant-v5,32
230000.0,7.5166,SACDistanceAgentNew,Ant-v5,32
235000.0,8.959,SACDistanceAgentNew,Ant-v5,32
240000.0,6.472,SACDistanceAgentNew,Ant-v5,32
245000.0,7.6027,SACDistanceAgentNew,Ant-v5,32
250000.0,7.1956,SACDistanceAgentNew,Ant-v5,32
255000.0,7.0446,SACDistanceAgentNew,Ant-v5,32
260000.0,7.2833,SACDistanceAgentNew,Ant-v5,32
265000.0,8.289,SACDistanceAgentNew,Ant-v5,32
270000.0,6.8276,SACDistanceAgentNew,Ant-v5,32
275000.0,7.873,SACDistanceAgentNew,Ant-v5,32
280000.0,7.2978,SACDistanceAgentNew,Ant-v5,32
285000.0,7.746,SACDistanceAgentNew,Ant-v5,32
290000.0,7.6789,SACDistanceAgentNew,Ant-v5,32
295000.0,8.0084,SACDistanceAgentNew,Ant-v5,32
300000.0,7.2251,SACDistanceAgentNew,Ant-v5,32
305000.0,6.6291,SACDistanceAgentNew,Ant-v5,32
310000.0,5.9653,SACDistanceAgentNew,Ant-v5,32
315000.0,7.4169,SACDistanceAgentNew,Ant-v5,32
320000.0,6.462,SACDistanceAgentNew,Ant-v5,32
325000.0,7.0804,SACDistanceAgentNew,Ant-v5,32
330000.0,5.4529,SACDistanceAgentNew,Ant-v5,32
335000.0,6.4768,SACDistanceAgentNew,Ant-v5,32
340000.0,4.6822,SACDistanceAgentNew,Ant-v5,32
345000.0,5.8152,SACDistanceAgentNew,Ant-v5,32
350000.0,7.2482,SACDistanceAgentNew,Ant-v5,32
355000.0,5.8143,SACDistanceAgentNew,Ant-v5,32
360000.0,7.7369,SACDistanceAgentNew,Ant-v5,32
365000.0,7.6672,SACDistanceAgentNew,Ant-v5,32
370000.0,7.2719,SACDistanceAgentNew,Ant-v5,32
375000.0,5.808,SACDistanceAgentNew,Ant-v5,32
380000.0,7.8132,SACDistanceAgentNew,Ant-v5,32
385000.0,6.4641,SACDistanceAgentNew,Ant-v5,32
390000.0,6.463,SACDistanceAgentNew,Ant-v5,32
395000.0,7.1749,SACDistanceAgentNew,Ant-v5,32
400000.0,5.8967,SACDistanceAgentNew,Ant-v5,32
405000.0,6.2273,SACDistanceAgentNew,Ant-v5,32
410000.0,6.0541,SACDistanceAgentNew,Ant-v5,32
415000.0,6.3237,SACDistanceAgentNew,Ant-v5,32
420000.0,5.9726,SACDistanceAgentNew,Ant-v5,32
425000.0,6.3899,SACDistanceAgentNew,Ant-v5,32
430000.0,5.5584,SACDistanceAgentNew,Ant-v5,32
435000.0,6.613,SACDistanceAgentNew,Ant-v5,32
440000.0,5.1586,SACDistanceAgentNew,Ant-v5,32
445000.0,4.9064,SACDistanceAgentNew,Ant-v5,32
450000.0,5.0139,SACDistanceAgentNew,Ant-v5,32
455000.0,3.9629,SACDistanceAgentNew,Ant-v5,32
460000.0,6.7976,SACDistanceAgentNew,Ant-v5,32
465000.0,6.1594,SACDistanceAgentNew,Ant-v5,32
470000.0,5.5863,SACDistanceAgentNew,Ant-v5,32
475000.0,6.2616,SACDistanceAgentNew,Ant-v5,32
480000.0,7.4752,SACDistanceAgentNew,Ant-v5,32
485000.0,6.8393,SACDistanceAgentNew,Ant-v5,32
490000.0,6.4831,SACDistanceAgentNew,Ant-v5,32
495000.0,5.5825,SACDistanceAgentNew,Ant-v5,32
