algorithm,env,seed,runtime,best
SACDistanceAgentNew,Ant-v5,32,11.23,978.8203
SACDistanceAgentNew,HalfCheetah-v5,42,11.25,10133.0761
SACDistanceAgentNew,InvertedDoublePendulum-v5,42,11.3,9359.8536
SACDistanceAgentNew,MountainCarContinuous-v0,42,11.32,-0.0015
SACDistanceAgentNew,Pendulum-v1,42,11.31,-80.9263
SACDistanceAgentNew,Walker2d-v5,32,11.32,6010.6841
SACDistanceAgentNew,Ant-v5,42,11.32,970.6545
SACDistanceAgentNew,HalfCheetah-v5,32,11.33,11163.3647
SACDistanceAgentNew,Hopper-v5,42,11.31,3376.3007
SACDistanceAgentNew,Hopper-v5,32,11.22,3603.507
SACDistanceAgentNew,InvertedDoublePendulum-v5,32,11.3,9359.9024
SACDistanceAgentNew,InvertedPendulum-v5,42,11.32,1000.0
SACDistanceAgentNew,InvertedPendulum-v5,32,11.31,1000.0
SACDistanceAgentNew,LunarLanderContinuous-v3,42,11.32,281.7006
SACDistanceAgentNew,LunarLanderContinuous-v3,32,11.31,290.3619
SACDistanceAgentNew,MountainCarContinuous-v0,32,11.3,-0.0
SACDistanceAgentNew,Pendulum-v1,32,11.33,-94.0053
SACDistanceAgentNew,Reacher-v5,32,11.34,-3.3685
SACDistanceAgentNew,Reacher-v5,42,11.34,-3.3395
SACDistanceAgentNew,Swimmer-v5,42,11.31,114.852
SACDistanceAgentNew,Swimmer-v5,32,11.33,173.0591
SACDistanceAgentNew,Walker2d-v5,42,11.34,5187.2842
ppo,HalfCheetah-v5,42,1.22,4471.703
sac,Ant-v5,42,6.58,6364.331
ppo,Ant-v5,42,1.31,881.1597
sac,HalfCheetah-v5,42,6.17,14797.562
td3,Ant-v5,42,4.03,12050.012
ppo,Hopper-v5,42,1.28,2469.2605
sac,Hopper-v5,42,6.22,3752.289
td3,Hopper-v5,42,3.69,3737.1196
ppo,Humanoid-v5,42,1.41,596.0865
sac,Humanoid-v5,42,1.32,5113.0825
ppo,InvertedDoublePendulum-v5,42,1.15,9359.638
td3,InvertedDoublePendulum-v5,42,3.84,9359.864
sac,InvertedDoublePendulum-v5,42,6.47,9359.918
ppo,InvertedPendulum-v5,42,1.36,1000.0
td3,InvertedPendulum-v5,42,3.78,1000.0
sac,InvertedPendulum-v5,42,6.36,1000.0
ppo,Reacher-v5,42,1.07,-2.8004
td3,Reacher-v5,42,3.6,-2.2739
sac,Reacher-v5,42,4.36,-2.1802
ppo,Swimmer-v5,42,1.3,120.3562
td3,Swimmer-v5,42,3.7,67.5517
sac,Swimmer-v5,42,3.61,71.5586
ppo,Walker2d-v5,42,1.19,2015.1256
td3,Walker2d-v5,42,2.92,4206.972
sac,Walker2d-v5,42,2.73,5249.882
